client_id,gender,age_1996,account_age_days,freq_POPLATEK PO OBRATU,freq_POPLATEK TYDNE,txn_count_1996,incoming_total_1996,outgoing_total_1996,avg_txn_1996,max_txn_1996,min_txn_1996,k_pojistne_count_1996,k_sipo_count_1996,k_sluzby_count_1996,k_urok_count_1996,k_sankc_urok_count_1996,k_duchod_count_1996,k_uver_count_1996,op_vyber_kartou_count_1996,op_vklad_count_1996,op_prevod_z_uctu_count_1996,op_vyber_count_1996,op_prevod_na_ucet_count_1996,avg_balance_1996,max_balance_1996,min_balance_1996,std_balance_1996,recency_1996,order_count,order_amount_total,po_pojistne_count,po_sipo_count,po_leasing_count,po_uver_count,has_previous_loan,previous_loan_amount_total,previous_loan_problem,loan_granted_1996,has_card_pre_1997,card_count_pre_1997,card_issued_1996,ending_balance_1996,op_type_diversity_1996,k_symbol_diversity_1996,n_accounts,ratio_credit_to_debit_1996,ratio_incoming_total_1996,ratio_outgoing_total_1996,avg_txn_norm_1996,po_type_diversity_1996,dv_loan_1997,dv_card_1997
29,1,45,1319.0,0.0,0.0,70,300651.8,291119.2,8453.871428571429,40480.0,14.6,0.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,13.0,0.0,33,12.0,49748.8,72983.2,18110.8,11391.749012269831,0,1.0,5807.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71655.1,3.0,3.0,1,1.0327446626673884,0.5080542980308261,0.4919457019691739,120.76959183673469,1,0,0
32,2,16,1241.0,0.0,0.0,66,323981.0,299419.2,9792.593939393939,37203.0,14.6,0.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,12.0,30,12.0,28351.263636363634,49805.9,9526.2,9844.334888618567,0,1.0,10387.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29939.3,3.0,3.0,1,1.0820314796111938,0.5196998653513426,0.4803001346486575,148.3726354453627,1,0,0
33,1,48,1192.0,0.0,0.0,70,113901.0,122423.2,3376.06,12940.0,14.6,0.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,13.0,0.0,33,12.0,19215.452857142856,34260.2,11024.6,4519.045550142981,0,1.0,4054.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21179.6,3.0,3.0,1,0.9303873775558881,0.4819692608712946,0.5180307391287053,48.22942857142857,1,0,0
36,1,18,768.0,0.0,0.0,96,232712.1,237571.2,4898.784375,26667.0,8.0,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,12.0,0.0,36,36.0,33114.66354166667,51434.6,16342.6,7434.663486231165,0,3.0,7708.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27328.4,3.0,5.0,1,0.9795467632440296,0.49483385865498514,0.5051661413450148,51.029003906250004,2,0,0
38,1,23,668.0,0.0,0.0,64,412898.8,351375.2,13260.34375,58100.0,14.6,0.0,0.0,12.0,12.0,0.0,0.0,0.0,0.0,12.0,0.0,40,0.0,51693.3390625,121704.1,21149.0,26498.75875654662,0,1.0,2480.2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34802.4,2.0,2.0,1,1.1750937459445059,0.5402497010234549,0.45975029897654507,207.19287109375,1,0,0
39,2,28,979.0,0.0,0.0,93,605962.0,484099.2,13329.496774193547,49400.0,14.6,0.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,27.0,0.0,42,12.0,62399.31075268818,121803.6,20551.0,23017.63824986444,0,1.0,10202.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39655.8,3.0,3.0,1,1.2517310501649248,0.555897228522582,0.444102771477418,143.3279223031564,1,0,0
40,1,39,491.0,0.0,0.0,52,217516.9,213075.2,8280.617307692308,24822.0,14.6,0.0,0.0,12.0,12.0,0.0,0.0,0.0,0.0,12.0,0.0,28,0.0,50894.553846153845,75123.2,37284.3,8733.822659838837,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51449.1,2.0,2.0,1,1.0208456920373652,0.5051576654564727,0.49484233454352744,159.24264053254439,0,0,0
41,2,28,1223.0,0.0,0.0,66,310228.3,270379.2,8797.083333333334,35384.0,14.6,0.0,12.0,12.0,12.0,0.0,0.0,0.0,7.0,12.0,0.0,23,12.0,71387.91212121212,103726.0,55354.8,11512.739777755438,0,1.0,3892.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,103726.0,4.0,3.0,1,1.147382269050282,0.5343167285989244,0.4656832714010756,133.28914141414143,1,0,0
42,2,61,1201.0,0.0,1.0,83,416942.3,381124.0,10572.521686746988,47768.0,30.0,0.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,12.0,35,24.0,54087.061445783125,83985.7,31542.7,14276.976820219355,0,3.0,8051.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42206.5,3.0,4.0,1,1.0939806991950125,0.5224406794272606,0.47755932057273937,127.37977935839744,2,0,0
43,2,76,1273.0,0.0,0.0,76,66112.3,68643.2,1773.0986842105262,5446.0,14.6,0.0,12.0,12.0,12.0,0.0,12.0,0.0,0.0,0.0,12.0,28,24.0,16311.934210526315,22526.6,12307.4,2532.4330252968257,0,2.0,2384.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15809.1,3.0,5.0,1,0.9631296326511586,0.4906092886746738,0.5093907113253262,23.330245844875346,1,0,0
44,1,19,1279.0,0.0,0.0,73,260001.0,277783.2,7366.906849315068,29778.0,14.6,0.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,12.0,0.0,37,12.0,40213.916438356166,64711.8,17322.8,11901.05509588463,0,1.0,4069.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27092.3,3.0,3.0,1,0.9359853295663668,0.48346716024754915,0.516532839752451,100.91653218239819,1,0,0
47,2,62,1196.0,0.0,0.0,75,78939.40000000001,71315.2,2003.3946666666668,6474.0,14.6,0.0,12.0,12.0,12.0,0.0,12.0,0.0,0.0,0.0,12.0,27,24.0,26122.557333333334,35721.4,14301.1,5507.753743812383,0,2.0,3115.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29700.7,3.0,5.0,1,1.1069084851476265,0.5253709370628254,0.4746290629371746,26.71192888888889,1,0,0
48,2,56,1163.0,0.0,0.0,74,85253.5,95283.2,2439.685135135135,10200.0,14.6,0.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,12.0,0.0,26,24.0,16437.144594594592,25680.4,8160.6,4237.307961952073,0,2.0,4334.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8201.4,3.0,4.0,1,0.8947380020822139,0.472222545332888,0.5277774546671119,32.96871804236669,1,0,0
51,1,17,933.0,0.0,0.0,76,313771.4,334363.2,8528.086842105264,35862.0,14.6,0.0,12.0,12.0,12.0,0.0,0.0,0.0,13.0,12.0,0.0,27,12.0,57126.88157894737,82778.2,36389.0,10293.540634212772,0,1.0,6589.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,58259.0,4.0,3.0,1,0.9384148734071214,0.48411456509188056,0.5158854349081193,112.21166897506926,1,0,0
52,2,72,1331.0,0.0,0.0,54,51317.7,39253.2,1677.2388888888888,5600.0,14.6,0.0,12.0,12.0,12.0,0.0,12.0,0.0,0.0,0.0,12.0,18,12.0,19119.805555555555,29423.9,12225.5,4575.620645041177,0,1.0,2344.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26639.2,3.0,4.0,1,1.3073507382837577,0.5666025180273134,0.43339748197268657,31.059979423868313,1,0,0
55,1,48,1241.0,0.0,0.0,108,460547.5,455343.2,8541.025,52886.0,9.0,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,12.0,36,48.0,44775.01388888889,87874.8,19497.4,16198.991166456228,0,4.0,7264.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43047.1,3.0,5.0,1,1.011429400944167,0.5028411141198399,0.4971588858801602,79.0835648148148,2,0,0
59,2,39,970.0,0.0,0.0,86,213606.7,221491.2,5059.277906976745,24195.0,14.6,0.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,13.0,0.0,37,24.0,30857.57093023256,49703.2,16996.0,6141.239136082941,0,2.0,7293.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30449.6,3.0,4.0,1,0.9644026489539991,0.4909393954785808,0.5090606045214192,58.82881287182261,1,0,0
62,2,64,573.0,0.0,0.0,53,52218.4,42807.2,1792.935849056604,4277.0,14.6,0.0,12.0,12.0,12.0,0.0,12.0,0.0,0.0,0.0,12.0,17,12.0,18748.17358490566,27049.6,12986.8,3467.326958643356,0,1.0,2851.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23546.6,3.0,4.0,1,1.2198508662094227,0.549519287434123,0.4504807125658769,33.828978284086865,1,0,0
63,2,37,609.0,0.0,0.0,62,41852.3,45355.2,1406.5725806451612,8070.0,14.6,0.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,12.0,26,12.0,15993.60806451613,21631.9,10988.2,2393.906203176312,0,1.0,2280.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14902.5,3.0,3.0,1,0.9227674004303807,0.47991629160335986,0.5200837083966402,22.68665452653486,1,0,0
65,1,53,960.0,0.0,0.0,67,195936.3,194995.2,5834.798507462687,23840.0,14.6,0.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,14.0,0.0,29,12.0,33208.114925373135,54275.3,20001.1,7184.768495548228,0,1.0,8080.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35032.6,3.0,3.0,1,1.0048262726467112,0.5012036635574263,0.4987963364425737,87.08654488750278,1,0,0
66,1,45,590.0,0.0,0.0,76,278921.0,293259.2,7528.686842105262,31962.0,14.6,0.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,12.0,0.0,40,12.0,42869.038157894734,69645.8,23637.9,11960.139456767409,0,1.0,4107.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35307.6,3.0,3.0,1,0.9511074162379219,0.48747055560468544,0.5125294443953147,99.06166897506924,1,0,0
68,2,50,1010.0,0.0,0.0,85,196562.0,199795.2,4663.025882352941,22880.0,14.6,0.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,15.0,0.0,34,24.0,42157.50705882353,63390.2,24145.2,8995.472805750527,0,2.0,6885.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43924.8,3.0,4.0,1,0.9838174290473444,0.4959213557871536,0.5040786442128464,54.85912802768166,1,0,0
70,2,71,1116.0,0.0,0.0,74,49184.5,54441.2,1400.3472972972972,4019.0,14.6,0.0,12.0,12.0,12.0,0.0,12.0,0.0,0.0,0.0,12.0,26,24.0,19140.9,28480.7,13451.6,3393.1807188770395,0,2.0,2313.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22207.6,3.0,5.0,1,0.9034426133149159,0.47463611826023855,0.5253638817397615,18.923612125639153,1,0,0
72,2,74,1374.0,0.0,0.0,68,62078.9,71911.2,1970.4426470588237,6500.0,14.6,0.0,12.0,12.0,12.0,0.0,12.0,0.0,0.0,0.0,12.0,32,12.0,23367.779411764706,32498.5,16355.6,4122.400893247093,0,1.0,2273.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16430.0,3.0,4.0,1,0.8632716461413522,0.4633096027243804,0.5366903972756196,28.977097750865056,1,0,0
77,1,40,1124.0,1.0,0.0,67,583884.7,532000.0,17594.17462686567,67070.0,63.4,0.0,0.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,12.0,43,0.0,62247.35223880597,129812.6,7811.4,25558.784008132137,0,1.0,4471.3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,49382.8,2.0,2.0,1,1.0975276315789473,0.5232482352343392,0.47675176476566083,262.59962129650256,1,0,0
78,1,52,804.0,0.0,0.0,97,541291.4,464351.2,11303.789690721651,62235.0,14.6,0.0,12.0,12.0,12.0,0.0,0.0,8.0,0.0,0.0,12.0,41,32.0,44827.217525773194,94947.4,21046.3,17532.865977447243,0,3.0,13753.0,0.0,1.0,0.0,1.0,1.0,165960.0,0.0,1.0,0.0,0.0,0.0,35286.0,3.0,5.0,1,1.1656939833470874,0.5382542465882014,0.4617457534117986,116.53391433733661,2,0,0
79,1,27,742.0,1.0,0.0,111,465388.0,375268.0,8004.90990990991,53336.0,61.0,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,12.0,39,48.0,60256.19459459459,112710.0,25896.9,18726.71490174999,0,4.0,3089.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100228.0,3.0,5.0,1,1.2401483739620751,0.5536009973163815,0.4463990026836185,72.11630549468387,2,0,1
81,2,20,682.0,0.0,0.0,65,122787.2,112755.2,3623.7292307692305,13630.0,14.6,0.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,15.0,0.0,26,12.0,35160.43076923077,48087.2,24525.3,5418.055472760819,0,1.0,4150.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33714.8,3.0,3.0,1,1.088971506413895,0.5212955289578437,0.4787044710421563,55.74968047337278,1,0,0
83,1,18,1032.0,0.0,0.0,107,284699.0,284943.2,5323.758878504673,36320.0,14.6,12.0,12.0,12.0,12.0,0.0,0.0,0.0,1.0,12.0,0.0,34,48.0,45522.701869158875,74919.0,26145.3,10154.14019086091,0,4.0,4359.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,50907.9,4.0,5.0,1,0.9991429870935681,0.49978565492514426,0.5002143450748558,49.754755873875446,2,0,0
87,1,50,1149.0,0.0,0.0,73,250492.3,242547.2,6753.965753424657,28666.5,14.6,0.0,12.0,12.0,12.0,0.0,0.0,0.0,10.0,12.0,0.0,27,12.0,41873.76438356164,67129.5,20489.2,9538.376334304752,0,1.0,6061.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,45562.0,4.0,3.0,1,1.0327569231885587,0.5080572651886918,0.49194273481130824,92.5200788140364,1,0,0
89,1,45,506.0,0.0,0.0,70,164375.2,165803.2,4716.834285714286,18825.0,14.6,0.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,12.0,0.0,34,12.0,25620.36142857143,47437.9,15820.3,6613.13739724705,0,1.0,3369.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33459.9,3.0,3.0,1,0.9913873797369411,0.4978375326793031,0.5021624673206969,67.38334693877552,1,0,0
92,1,30,1273.0,0.0,0.0,72,228770.4,227843.2,6341.855555555555,26217.0,14.6,0.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,13.0,0.0,35,12.0,27563.855555555558,46559.1,8950.1,7057.655420726856,0,1.0,9039.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34278.8,3.0,3.0,1,1.0040694653164983,0.5010153004641124,0.4989846995358877,88.08132716049381,1,0,0
94,2,49,461.0,0.0,0.0,52,41282.7,34140.6,1450.448076923077,5250.0,2.6,0.0,0.0,11.0,11.0,0.0,0.0,0.0,0.0,0.0,12.0,19,10.0,17317.86923076923,20313.0,12872.5,1627.4377951473002,0,1.0,2252.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18176.1,3.0,2.0,1,1.209196674926627,0.5473467748030119,0.45265322519698825,27.89323224852071,1,0,0
97,2,31,973.0,0.0,0.0,83,724623.5,613675.2,16877.755421686747,57700.0,14.6,0.0,0.0,12.0,12.0,0.0,0.0,0.0,0.0,26.0,0.0,45,0.0,69182.4626506024,161573.6,20015.0,32547.13735317991,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109012.8,2.0,2.0,1,1.1807931948366173,0.5414512470198171,0.45854875298018294,203.34645086369574,0,0,0
98,1,23,1355.0,0.0,0.0,83,132081.0,149455.2,3392.0024096385546,13839.0,14.6,0.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,15.0,0.0,32,24.0,21767.820481927713,35651.1,13061.1,5199.907694320489,0,2.0,6150.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14450.8,3.0,4.0,1,0.8837497791980472,0.46914393246765423,0.5308560675323458,40.867498911307884,1,0,0
100,1,54,372.0,1.0,0.0,67,534829.8,446568.0,14728.385074626867,48660.0,100.0,0.0,9.0,10.0,12.0,0.0,0.0,0.0,0.0,20.0,0.0,26,9.0,61075.197014925376,133183.8,10170.1,28639.698321068416,0,2.0,14161.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83957.9,3.0,3.0,1,1.19764470360617,0.5449673924274132,0.45503260757258673,219.8266429048786,2,0,0
102,1,38,1395.0,0.0,0.0,74,39900.7,36109.2,1027.1608108108107,3243.0,14.6,0.0,0.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,12.0,26,24.0,19705.527027027027,26253.8,14667.3,2830.9877237215783,0,2.0,2162.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24549.7,3.0,2.0,1,1.1050009415882933,0.5249408300760822,0.4750591699239178,13.880551497443388,1,0,0
107,2,24,902.0,0.0,0.0,110,317777.0,338539.2,5966.510909090909,36459.0,14.6,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,12.0,0.0,38,48.0,29887.81818181818,59226.9,12318.7,10003.847010064044,0,4.0,9882.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37758.5,3.0,5.0,1,0.9386712085336055,0.4841827765336282,0.5158172234663719,54.24100826446281,2,0,0
112,2,61,642.0,0.0,0.0,61,313786.8,293335.2,9952.819672131147,35890.0,14.6,0.0,0.0,12.0,12.0,0.0,0.0,0.0,3.0,12.0,0.0,34,0.0,59784.80655737705,97808.3,35021.5,13492.88912340952,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,68266.0,3.0,2.0,1,1.069720919957782,0.5168430727267337,0.48315692727326637,163.16097823165813,0,0,0
114,1,27,1412.0,0.0,0.0,117,578973.7,583231.2,10236.605982905981,66332.0,14.6,12.0,12.0,12.0,12.0,0.0,0.0,0.0,4.0,0.0,12.0,41,48.0,82642.33333333333,126947.7,46987.6,19360.271287635976,0,5.0,8160.1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,65849.6,4.0,5.0,1,0.9927001504720598,0.49816835224150235,0.5018316477584976,87.49235882825626,3,0,0
120,2,20,553.0,0.0,0.0,77,419313.7,350010.6,10237.99090909091,64900.0,14.6,0.0,10.0,11.0,12.0,0.0,0.0,0.0,0.0,18.0,0.0,27,20.0,52110.83246753247,109950.7,13838.9,22582.112240329803,0,2.0,9185.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84100.3,3.0,4.0,1,1.1980028604847968,0.545041538399346,0.4549584616006539,132.96092089728455,1,0,0
121,1,18,1099.0,0.0,0.0,87,179853.6,164999.2,3963.8252873563215,17836.5,14.6,0.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,17.0,0.0,34,24.0,42607.15287356322,63498.2,17662.6,10186.932018771837,0,2.0,7927.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52452.8,3.0,4.0,1,1.0900271031617124,0.5215373051922443,0.4784626948077556,45.56121019949795,1,0,0
123,2,27,1172.0,0.0,0.0,95,327933.1,222575.2,6754.0768421052635,47939.0,14.6,0.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,21.0,0.0,38,24.0,39027.606315789475,96777.1,10799.6,19769.277079900385,0,3.0,11120.2,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30564.0,3.0,4.0,1,1.473358667093189,0.5956914727716184,0.40430852722838145,71.0955457063712,2,0,0
125,2,60,1356.0,0.0,0.0,75,37741.7,41719.2,1059.4786666666666,7830.0,14.6,0.0,0.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,12.0,27,24.0,20666.462666666666,26349.3,15823.1,2780.3829108145437,0,2.0,2042.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19309.0,3.0,2.0,1,0.9046602044142745,0.47497196734494573,0.5250280326550543,14.126382222222222,1,0,0
128,1,23,765.0,0.0,0.0,72,232725.9,231095.2,6441.959722222222,26648.0,14.6,0.0,12.0,12.0,12.0,0.0,0.0,0.0,10.0,12.0,0.0,26,12.0,38839.44861111111,62814.3,15960.4,10024.83237853604,0,1.0,3735.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,38827.8,4.0,3.0,1,1.007056399267488,0.5017578976031922,0.4982421023968078,89.47166280864197,1,0,0
129,1,49,1152.0,0.0,0.0,98,110737.2,104163.2,2192.861224489796,10248.0,14.6,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,21.0,0.0,29,36.0,32042.860204081637,48159.2,14957.0,8701.050783927327,0,3.0,4554.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32612.5,3.0,5.0,1,1.0631125003840127,0.5152954578027775,0.48470454219722253,22.376134943773426,2,0,0
